datetime,open,high,low,close,volume,timestamp
2026-04-05 01:00:00,592.09,592.09,592.09,592.09,0.009,1775350800
2026-04-05 02:00:00,591.67,591.67,591.67,591.67,0.012,1775354400
2026-04-05 03:00:00,593.58,593.58,592.95,592.95,0.028,1775358000
2026-04-05 04:00:00,592.95,592.95,592.95,592.95,0.0,1775361600
2026-04-05 05:00:00,593.59,593.59,592.73,593.59,0.877,1775365200
2026-04-05 06:00:00,590.19,590.19,588.71,588.73,0.169,1775368800
2026-04-05 07:00:00,591.03,591.03,589.96,589.96,0.041,1775372400
2026-04-05 08:00:00,590.84,592.35,590.84,592.34,0.72,1775376000
2026-04-05 09:00:00,593.16,593.5,593.16,593.5,0.171,1775379600
2026-04-05 10:00:00,593.44,594.48,593.09,594.19,2.41,1775383200
2026-04-05 11:00:00,594.19,594.19,594.19,594.19,0.025,1775386800
2026-04-05 12:00:00,593.89,593.89,590.97,590.97,11.665,1775390400
2026-04-05 13:00:00,587.83,588.32,587.83,588.32,0.187,1775394000
2026-04-05 14:00:00,590.38,590.38,590.38,590.38,0.011,1775397600
2026-04-05 15:00:00,589.48,596.0,589.48,593.86,2.606,1775401200
2026-04-05 16:00:00,593.25,593.26,592.93,593.26,0.907,1775404800
2026-04-05 17:00:00,592.92,593.53,592.92,593.19,0.145,1775408400
2026-04-05 18:00:00,592.12,593.25,592.09,592.09,1.454,1775412000
2026-04-05 19:00:00,592.2,593.86,592.09,592.09,2.702,1775415600
2026-04-05 20:00:00,592.51,593.86,592.51,593.86,1.176,1775419200
2026-04-05 21:00:00,592.09,592.09,591.5,591.5,0.088,1775422800
2026-04-05 22:00:00,591.81,596.38,591.81,596.38,0.915,1775426400
2026-04-05 23:00:00,598.42,604.09,597.32,601.5,2.335,1775430000
2026-04-06 00:00:00,602.88,606.15,602.88,603.71,0.293,1775433600
2026-04-06 01:00:00,603.52,603.52,601.49,601.49,1.67,1775437200
2026-04-06 02:00:00,601.49,601.49,601.49,601.49,0.0,1775440800
2026-04-06 03:00:00,601.49,601.49,601.49,601.49,0.0,1775444400
2026-04-06 04:00:00,599.47,599.47,598.64,598.64,0.165,1775448000
2026-04-06 05:00:00,600.88,601.13,600.88,601.13,0.062,1775451600
2026-04-06 06:00:00,602.29,604.04,600.31,602.1,0.758,1775455200
2026-04-06 07:00:00,601.43,602.47,601.43,602.17,3.317,1775458800
2026-04-06 08:00:00,603.96,603.96,603.95,603.95,0.105,1775462400
2026-04-06 09:00:00,605.13,609.41,605.13,607.28,0.128,1775466000
2026-04-06 10:00:00,607.61,607.61,605.65,605.65,0.165,1775469600
2026-04-06 11:00:00,605.19,605.94,603.69,605.28,9.851,1775473200
2026-04-06 12:00:00,604.97,604.98,604.64,604.64,0.065,1775476800
2026-04-06 13:00:00,605.03,606.61,605.03,606.61,0.207,1775480400
2026-04-06 14:00:00,606.55,606.55,606.55,606.55,0.009,1775484000
2026-04-06 15:00:00,607.68,608.96,607.68,608.96,0.482,1775487600
2026-04-06 16:00:00,607.56,608.03,607.25,607.25,0.287,1775491200
2026-04-06 17:00:00,603.97,604.28,603.03,603.03,6.729,1775494800
2026-04-06 18:00:00,603.97,606.68,603.97,606.68,0.826,1775498400
2026-04-06 19:00:00,605.78,605.78,605.78,605.78,0.023,1775502000
2026-04-06 20:00:00,607.68,607.68,606.83,606.83,1.434,1775505600
2026-04-06 21:00:00,606.83,606.83,606.83,606.83,0.0,1775509200
2026-04-06 22:00:00,605.06,605.06,600.71,600.71,0.266,1775512800
2026-04-06 23:00:00,599.62,600.54,597.46,600.54,0.064,1775516400
2026-04-07 00:00:00,599.62,599.62,599.62,599.62,0.009,1775520000
2026-04-07 01:00:00,598.95,599.62,597.39,597.39,0.075,1775523600
2026-04-07 02:00:00,598.31,598.54,598.31,598.54,0.096,1775527200
2026-04-07 03:00:00,598.54,598.54,598.54,598.54,0.0,1775530800
2026-04-07 04:00:00,601.52,601.52,601.52,601.52,0.146,1775534400
2026-04-07 05:00:00,599.62,599.62,597.46,597.46,0.085,1775538000
2026-04-07 06:00:00,597.46,597.46,597.46,597.46,0.0,1775541600
2026-04-07 07:00:00,599.0,599.0,599.0,599.0,0.364,1775545200
2026-04-07 08:00:00,601.79,601.79,601.79,601.79,0.009,1775548800
2026-04-07 09:00:00,602.88,606.15,602.88,606.15,0.201,1775552400
2026-04-07 10:00:00,603.97,603.97,597.46,597.46,1.052,1775556000
2026-04-07 11:00:00,597.5,597.5,596.78,596.78,0.034,1775559600
2026-04-07 12:00:00,596.38,598.54,593.61,598.54,2.146,1775563200
2026-04-07 13:00:00,598.54,599.1,597.46,597.46,0.615,1775566800
2026-04-07 14:00:00,596.95,596.95,594.24,596.38,1.085,1775570400
2026-04-07 15:00:00,594.24,598.54,594.24,598.54,1.216,1775574000
2026-04-07 16:00:00,599.98,601.79,599.62,601.79,5.358,1775577600
2026-04-07 17:00:00,602.88,606.15,602.88,605.24,1.224,1775581200
2026-04-07 18:00:00,604.61,604.61,603.67,603.67,1.813,1775584800
