datetime,open,high,low,close,volume,timestamp
2026-04-02 00:00:00,2140.35,2159.37,2136.09,2156.14,12242.365,1775088000
2026-04-02 01:00:00,2156.14,2156.15,2090.0,2100.03,50106.9533,1775091600
2026-04-02 02:00:00,2100.02,2100.02,2065.0,2073.89,25331.829,1775095200
2026-04-02 03:00:00,2073.9,2076.67,2046.48,2056.33,21103.372,1775098800
2026-04-02 04:00:00,2056.33,2058.45,2041.77,2044.56,12765.2209,1775102400
2026-04-02 05:00:00,2044.57,2051.38,2038.63,2050.21,11421.8962,1775106000
2026-04-02 06:00:00,2050.21,2053.71,2045.56,2050.09,11368.962,1775109600
2026-04-02 07:00:00,2050.09,2056.76,2044.29,2056.09,10318.0667,1775113200
2026-04-02 08:00:00,2056.09,2056.09,2045.36,2046.29,7587.7213,1775116800
2026-04-02 09:00:00,2046.3,2048.14,2039.27,2044.0,9339.0191,1775120400
2026-04-02 10:00:00,2044.0,2045.05,2032.54,2038.79,9437.2718,1775124000
2026-04-02 11:00:00,2038.8,2040.28,2024.73,2033.01,8412.9595,1775127600
2026-04-02 12:00:00,2033.02,2034.03,2024.42,2026.98,11287.8209,1775131200
2026-04-02 13:00:00,2026.98,2041.02,2017.04,2038.81,21851.0601,1775134800
2026-04-02 14:00:00,2038.81,2072.22,2032.99,2063.82,38683.3619,1775138400
2026-04-02 15:00:00,2063.82,2067.89,2048.6,2059.6,16999.3052,1775142000
2026-04-02 16:00:00,2059.59,2077.64,2052.52,2063.31,19595.7382,1775145600
2026-04-02 17:00:00,2063.32,2072.0,2044.5,2047.23,11148.0191,1775149200
2026-04-02 18:00:00,2047.22,2063.0,2043.65,2058.32,8327.3195,1775152800
2026-04-02 19:00:00,2058.33,2066.66,2054.97,2065.34,5853.874,1775156400
2026-04-02 20:00:00,2065.35,2074.16,2061.06,2068.19,7110.0845,1775160000
2026-04-02 21:00:00,2068.2,2070.46,2056.11,2062.98,6195.6446,1775163600
2026-04-02 22:00:00,2062.99,2064.94,2053.54,2060.03,5345.387,1775167200
2026-04-02 23:00:00,2060.04,2061.89,2054.0,2057.17,5039.5805,1775170800
2026-04-03 00:00:00,2057.18,2059.63,2050.04,2053.01,3658.558,1775174400
2026-04-03 01:00:00,2053.01,2062.49,2045.4,2050.61,5957.6794,1775178000
2026-04-03 02:00:00,2050.61,2059.73,2040.66,2052.48,13641.7647,1775181600
2026-04-03 03:00:00,2052.47,2057.22,2050.08,2054.23,4604.5788,1775185200
2026-04-03 04:00:00,2054.22,2057.8,2048.89,2054.53,3535.1092,1775188800
2026-04-03 05:00:00,2054.52,2064.58,2047.35,2057.12,6946.4533,1775192400
2026-04-03 06:00:00,2057.12,2066.61,2054.98,2063.66,6719.2857,1775196000
2026-04-03 07:00:00,2063.66,2075.17,2062.2,2065.85,7270.4093,1775199600
2026-04-03 08:00:00,2065.84,2072.0,2058.89,2060.96,9649.3893,1775203200
2026-04-03 09:00:00,2060.97,2064.06,2057.03,2061.35,4821.5571,1775206800
2026-04-03 10:00:00,2061.35,2061.35,2053.46,2059.9,4051.9902,1775210400
2026-04-03 11:00:00,2059.91,2064.76,2057.94,2062.64,2874.6916,1775214000
2026-04-03 12:00:00,2062.64,2081.76,2045.08,2049.84,15335.5297,1775217600
2026-04-03 13:00:00,2049.85,2051.18,2041.65,2048.17,7950.3394,1775221200
2026-04-03 14:00:00,2048.17,2057.12,2045.32,2054.59,6038.137,1775224800
2026-04-03 15:00:00,2054.59,2057.77,2049.34,2051.26,5407.9689,1775228400
2026-04-03 16:00:00,2051.26,2056.54,2049.84,2054.7,4063.9595,1775232000
2026-04-03 17:00:00,2054.7,2055.4,2043.78,2050.36,4212.2581,1775235600
2026-04-03 18:00:00,2050.36,2053.34,2048.06,2049.26,1876.5841,1775239200
2026-04-03 19:00:00,2049.26,2054.11,2045.21,2052.68,2549.0412,1775242800
2026-04-03 20:00:00,2052.69,2055.0,2052.0,2052.75,2868.2806,1775246400
2026-04-03 21:00:00,2052.75,2060.92,2052.67,2058.42,4888.6892,1775250000
2026-04-03 22:00:00,2058.41,2059.72,2049.58,2051.79,3624.057,1775253600
2026-04-03 23:00:00,2051.8,2054.1,2049.23,2053.83,3720.328,1775257200
2026-04-04 00:00:00,2053.83,2053.86,2051.5,2052.26,1675.1923,1775260800
2026-04-04 01:00:00,2052.26,2053.8,2049.57,2051.27,1681.6241,1775264400
2026-04-04 02:00:00,2051.27,2053.3,2047.92,2050.13,2584.5202,1775268000
