close_50_sma,close_200_sma,close_10_ema,macd,macds,macdh,rsi,boll,boll_ub,boll_lb,atr,vwma,datetime,timestamp
,,2156.14,0.0,0.0,0.0,100.0,,,,23.279999999999745,,2026-04-02 00:00:00,1775088000
,,2145.9381818181814,-4.476011396011472,-0.8952022792022944,-3.580809116809178,0.0,,,,26.342142857142626,,2026-04-02 01:00:00,1775091600
,,2132.8385123966937,-10.017091419712415,-2.719580107304319,-7.297511312408096,0.0,,,,26.962704081632452,,2026-04-02 02:00:00,1775095200
,,2118.927873779113,-15.64503626540727,-5.304671338924909,-10.340364926482362,0.0,,,,27.19322521865871,,2026-04-02 03:00:00,1775098800
,,2105.4064421829103,-20.815021130092646,-8.406741297158458,-12.408279832934188,0.0,,,,26.44228056018308,,2026-04-02 04:00:00,1775102400
,,2095.370725422381,-24.17765860379086,-11.56092475848494,-12.61673384530592,5.987367475120237,,,,25.46426052017,,2026-04-02 05:00:00,1775106000
,,2087.1378662546754,-26.546247409636635,-14.55798928871528,-11.988258120921355,5.9791791521962665,,,,24.22752762587215,,2026-04-02 06:00:00,1775109600
,,2081.4927996629162,-27.62082556339419,-17.170556543651063,-10.450269019743128,12.427981906969947,,,,23.387704224024155,,2026-04-02 07:00:00,1775113200
,,2075.092290633295,-28.929730663194277,-19.522391367559706,-9.407339295634571,11.090011355685093,,,,22.483582493736733,,2026-04-02 08:00:00,1775116800
,,2069.4391468817867,-29.80822063411233,-21.57955722087023,-8.2286634132421,10.79748654696948,,,,21.511183744184102,,2026-04-02 09:00:00,1775120400
,,2063.866574721462,-30.57241396592417,-23.37812856988102,-7.194285396043149,10.14203195259185,,,,20.868242048170952,,2026-04-02 10:00:00,1775124000
,,2058.2562884084687,-31.28381997841643,-24.959266851588104,-6.324553126828327,9.456209315723967,,,,20.48836761615874,,2026-04-02 11:00:00,1775127600
,,2052.56969051602,-31.96570423346384,-26.36055432796325,-5.605149905500589,8.788516689373154,,,,19.71134135786168,,2026-04-02 12:00:00,1775131200
,,2050.067928604016,-31.191958800996872,-27.326835222569976,-3.8651235784268962,20.629095875360264,,,,20.016245546585846,,2026-04-02 13:00:00,1775134800
,,2052.5683052214677,-28.235184359024515,-27.508505049860887,-0.7266793091636288,38.73594225393619,,,,21.388656578972558,,2026-04-02 14:00:00,1775138400
,,2053.8467951812004,-25.93349288045283,-27.193502615979277,1.2600097355264452,37.19410326145003,,,,21.238752537617376,,2026-04-02 15:00:00,1775142000
,,2055.5673778755277,-23.53868054960094,-26.46253820270361,2.9238576531026688,39.47500109254803,,,,21.515984499216128,,2026-04-02 16:00:00,1775145600
,,2054.051490989068,-22.67689105335421,-25.70540877283373,3.0285177194795203,33.75337544253689,,,,21.94341417784355,,2026-04-02 17:00:00,1775149200
,,2054.8275835365102,-20.85860137904865,-24.736047294076716,3.8774459150280656,40.191915037125,,,,21.758170307997574,,2026-04-02 18:00:00,1775152800
,,2056.7389319844174,-18.636310592865357,-23.51609995383445,4.879789360969092,43.90823398109443,2058.642,2113.1292394602624,2004.1547605397373,21.039015285997753,2064.8256340761227,2026-04-02 19:00:00,1775156400
,,2058.8209443508867,-16.455469542803257,-22.10397387162821,5.648504328824952,45.391788353645346,2054.2445,2086.0024611908566,2022.4865388091428,20.471942765569338,2061.385975627959,2026-04-02 20:00:00,1775160000
,,2059.577136287089,-14.974919209646032,-20.678162939231775,5.703243729585743,43.14524482149136,2052.3920000000003,2076.699210123747,2028.0847898762538,20.03466113945724,2054.3586591829107,2026-04-02 21:00:00,1775163600
,,2059.659475143982,-13.879617162760042,-19.31845378393743,5.438836621177387,41.88130406829291,2051.699,2074.2412819607944,2029.1567180392055,19.417899629496013,2052.5312138617055,2026-04-02 22:00:00,1775167200
,,2059.2068432996216,-13.091450406222975,-18.07305310839454,4.981602702171564,40.638340374398794,2051.741,2074.3207377309827,2029.1612622690172,18.594478227389146,2052.2926903485472,2026-04-02 23:00:00,1775170800
,,2058.080144517872,-12.656602372967427,-16.98976296130912,4.333160588341691,38.8330314748211,2052.1635,2074.504924551715,2029.8220754482854,17.951301211147076,2052.735231571261,2026-04-03 00:00:00,1775174400
,,2056.7219364237135,-12.363127675995656,-16.064435904246427,3.7013082282507703,37.79000553458343,2052.1835,2074.5186089319027,2029.8483910680973,17.88977969606512,2052.80762630261,2026-04-03 01:00:00,1775178000
,,2055.9506752557654,-11.843133224795565,-15.220175368356255,3.37704214356069,39.161170514796794,2052.303,2074.617591728283,2029.9884082717167,17.97408114634618,2052.924669402892,2026-04-03 02:00:00,1775181600
,,2055.6378252092627,-11.16116454394296,-14.408373203473598,3.2472086595306386,40.483227120363935,2052.21,2074.476135722212,2029.9438642777882,17.200218207321445,2052.8035771254745,2026-04-03 03:00:00,1775185200
,,2055.4364024439424,-10.475734215139255,-13.62184540580673,3.146111190667476,40.72104125113414,2052.6220000000003,2074.739165822048,2030.5048341779525,16.608059763941363,2053.0606146135497,2026-04-03 04:00:00,1775188800
,,2055.742511090498,-9.61272487815495,-12.820021300276375,3.2072964221214253,42.84438532369852,2053.2780000000002,2075.1097728093705,2031.44622719063,16.652484066516983,2053.5886994085154,2026-04-03 05:00:00,1775192400
,,2057.182054528589,-8.305321837746305,-11.917081407770363,3.6117595700240575,47.917495936241934,2054.5215,2075.735125126318,2033.3078748736816,16.29373520462292,2054.5717147772707,2026-04-03 06:00:00,1775196000
,,2058.7580446143,-7.011654819332307,-10.935996090082751,3.9243412707504444,49.53287715025246,2056.1635,2075.459906167988,2036.8670938320122,16.05632554714987,2055.827348493929,2026-04-03 07:00:00,1775199600
,,2059.158400138973,-6.308278610382786,-10.010452594142759,3.702173983759973,46.09502898700605,2057.8625,2071.829276113333,2043.8957238866674,15.845873722353462,2057.6298083277898,2026-04-03 08:00:00,1775203200
,,2059.5568728409776,-5.654200057953858,-9.13920208690498,3.485002028951122,46.414462998330364,2058.9895,2069.9358829185703,2048.04311708143,15.216168456471054,2059.8755588205,2026-04-03 09:00:00,1775206800
,,2059.6192595971634,-5.19297953900832,-8.349957577325648,3.1569780383173285,45.338717232332556,2058.7935,2069.525167670962,2048.061832329038,14.692870709580257,2058.901036377635,2026-04-03 10:00:00,1775210400
,,2060.168485124952,-4.553869678991305,-7.59073999765878,3.036870318667475,47.800717483254665,2058.9455000000003,2069.8039206494304,2048.08707935057,14.130522801753107,2058.8930732472945,2026-04-03 11:00:00,1775214000
,,2058.290578738597,-5.022329251012252,-7.077057848329474,2.0547285973172222,38.97021916802166,2058.272,2069.6237903433757,2046.9202096566241,15.74119974448505,2057.2608647975603,2026-04-03 12:00:00,1775217600
,,2056.4504735133974,-5.465340833068694,-6.754714445277319,1.2893736122086246,37.98428938171626,2058.319,2069.4939378521744,2047.1440621478255,15.297542619878957,2057.554059539676,2026-04-03 13:00:00,1775221200
,,2056.1122056018703,-5.238009840855284,-6.451373524392912,1.2133636835376276,43.864023174962504,2058.1325,2069.4250282820085,2046.8399717179918,15.047718147030457,2057.370985477982,2026-04-03 14:00:00,1775224800
,,2055.2299864015304,-5.265850119424613,-6.2142688433992515,0.9484187239746387,41.657815842020085,2057.4285,2068.590729660778,2046.2662703392218,14.575023993671127,2056.7679197895745,2026-04-03 15:00:00,1775228400
,,2055.133625237616,-4.953236661102437,-5.962062406939889,1.008825745837452,44.74935064856125,2056.754,2066.8089756837076,2046.6990243162923,14.012522279837462,2056.0738040990395,2026-04-03 16:00:00,1775232000
,,2054.265693376231,-4.99807527169196,-5.769264979890304,0.7711897081983441,41.74395908445641,2056.123,2066.119695654062,2046.126304345938,13.841627831277654,2055.5478922071125,2026-04-03 17:00:00,1775235600
,,2053.3555673078254,-5.063996402248904,-5.628211264362024,0.5642148621131202,40.992498248775085,2055.5845,2065.8383392322066,2045.3306607677935,13.230082986186407,2055.2587156995432,2026-04-03 18:00:00,1775239200
,,2053.2327368882206,-4.785114138129757,-5.4595918391155704,0.6744777009858138,44.34693717922238,2055.36,2065.6616542360894,2045.058345763911,12.920791344315955,2055.124970099732,2026-04-03 19:00:00,1775242800
,,2053.1449665449077,-4.506501376918095,-5.2689737466760755,0.7624723697579805,44.41658611683451,2055.347,2065.66113224658,2045.0328677534205,12.21216339115053,2055.1326599029376,2026-04-03 20:00:00,1775246400
,,2054.1040635367426,-3.7845511921859725,-4.972089235778055,1.1875380435920828,49.88728783484548,2055.7375,2065.894871461158,2045.5801285388425,11.929151720354062,2055.4932061929226,2026-04-03 21:00:00,1775250000
,,2053.6833247118802,-3.7046808059467367,-4.718607549811792,1.0139267438650554,44.38606072194297,2055.7030000000004,2065.9089651184954,2045.4970348815052,11.80135516890019,2055.7465253242476,2026-04-03 22:00:00,1775253600
,,2053.7099929460837,-3.4371506650932133,-4.462316172868077,1.0251655077748634,46.346568225501464,2055.683,2065.901992318225,2045.464007681775,11.306258371121599,2055.7451679722167,2026-04-03 23:00:00,1775257200
,,2053.4463578649775,-3.3136196354771528,-4.232576865389892,0.9189572299127393,45.03089040560519,2055.5695,2065.8871440624757,2045.2518559375244,10.667239916041494,2055.7306897001,2026-04-04 00:00:00,1775260800
